sender_address,recipient_address,amount,timestamp
0xVictimWallet,0xPeelSeed,500.0,2026-06-01T10:00:00Z
0xPeelSeed,0xPeelRelay1,350.0,2026-06-01T10:15:00Z
0xPeelSeed,0xMuleWallet1,150.0,2026-06-01T10:20:00Z
0xPeelRelay1,0xPeelRelay2,250.0,2026-06-01T10:40:00Z
0xPeelRelay1,0xMuleWallet2,90.0,2026-06-01T10:45:00Z
0xPeelRelay2,0xbad0000000000000000000000000000000000001,120.0,2026-06-01T11:00:00Z
0xPeelRelay2,0xbad0000000000000000000000000000000000001,80.0,2026-06-01T11:05:00Z
0xMuleWallet1,0xBridgeRouterHop,140.0,2026-06-01T11:30:00Z
0xBridgeRouterHop,0xDeadDropWallet,135.0,2026-06-01T12:00:00Z
0xDeadDropWallet,0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045,5.0,2026-06-01T12:30:00Z
