sender_address,recipient_address,amount,timestamp,metadata,currency
0xVictimWallet,0xPeelSeed,500.0,2026-06-01 10:00:00+00:00,,
0xPeelSeed,0xPeelRelay1,350.0,2026-06-01 10:15:00+00:00,,
0xPeelSeed,0xMuleWallet1,150.0,2026-06-01 10:20:00+00:00,,
0xPeelRelay1,0xPeelRelay2,250.0,2026-06-01 10:40:00+00:00,,
0xPeelRelay1,0xMuleWallet2,90.0,2026-06-01 10:45:00+00:00,,
0xPeelRelay2,0xbad0000000000000000000000000000000000001,120.0,2026-06-01 11:00:00+00:00,,
0xPeelRelay2,0xbad0000000000000000000000000000000000001,80.0,2026-06-01 11:05:00+00:00,,
0xMuleWallet1,0xBridgeRouterHop,140.0,2026-06-01 11:30:00+00:00,,
0xBridgeRouterHop,0xDeadDropWallet,135.0,2026-06-01 12:00:00+00:00,,
0xDeadDropWallet,0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045,5.0,2026-06-01 12:30:00+00:00,,
0xCoConspirator1,0xConsolidationWallet,25.0,2026-06-01 13:00:00+00:00,,
0xCoConspirator2,0xConsolidationWallet,25.0,2026-06-01 13:00:00+00:00,,
0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045,0xCashOutExchangeWallet,4.8,2026-09-01 09:00:00+00:00,,
0xThief,0xMixer,1000.0,2026-03-01 00:00:00+00:00,,
0xCleanUser,0xMixer,500.0,2026-03-01 00:05:00+00:00,,
0xMixer,0xExitWallet,750.0,2026-03-01 00:10:00+00:00,,
0xHacker1,0xLaunderingHub,600.0,2026-04-01 00:00:00+00:00,,
0xHacker2,0xLaunderingHub,400.0,2026-04-01 00:05:00+00:00,,
0xLaunderingHub,0xFinalDestination,800.0,2026-04-01 00:10:00+00:00,,
0xExchangeHacker,0xExchangeMule,200.0,2026-06-01 00:00:00+00:00,,
0xExchangeMule,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,200.0,2026-06-01 00:05:00+00:00,,
0xNightOwlWallet,0xExchangeCounterparty,50.0,2026-08-24 02:15:00+00:00,,
0xPeerWalletA,0xNightOwlWallet,30.0,2026-08-24 03:05:00+00:00,,
0xNightOwlWallet,0xExchangeCounterparty,45.0,2026-08-25 03:10:00+00:00,,
0xNightOwlWallet,0xPeerWalletB,20.0,2026-08-26 02:40:00+00:00,,
0xNightOwlWallet,0xExchangeCounterparty,60.0,2026-08-26 03:00:00+00:00,,
0xPeerWalletA,0xNightOwlWallet,25.0,2026-08-26 03:20:00+00:00,,
0xNightOwlWallet,0xPeerWalletB,15.0,2026-08-26 04:00:00+00:00,,
0xNightOwlWallet,0xExchangeCounterparty,55.0,2026-08-27 03:30:00+00:00,,
0xPeerWalletA,0xNightOwlWallet,35.0,2026-08-28 02:50:00+00:00,,
0xNightOwlWallet,0xExchangeCounterparty,40.0,2026-08-29 03:15:00+00:00,,
0xNightOwlWallet,0xExchangeCounterparty,10.0,2026-08-25 14:00:00+00:00,,
0xAsiaHoursWallet,0xExchangeCounterparty,20.0,2026-08-24 00:10:00+00:00,,
0xPeerWalletA,0xAsiaHoursWallet,15.0,2026-08-24 01:20:00+00:00,,
0xAsiaHoursWallet,0xExchangeCounterparty,25.0,2026-08-25 02:05:00+00:00,,
0xAsiaHoursWallet,0xPeerWalletB,10.0,2026-08-25 03:40:00+00:00,,
0xPeerWalletA,0xAsiaHoursWallet,30.0,2026-08-26 04:15:00+00:00,,
0xAsiaHoursWallet,0xExchangeCounterparty,18.0,2026-08-26 05:30:00+00:00,,
0xAsiaHoursWallet,0xPeerWalletB,22.0,2026-08-26 06:50:00+00:00,,
0xPeerWalletA,0xAsiaHoursWallet,12.0,2026-08-27 07:05:00+00:00,,
0xAsiaHoursWallet,0xExchangeCounterparty,28.0,2026-08-27 08:45:00+00:00,,
0xAsiaHoursWallet,0xPeerWalletB,16.0,2026-08-28 09:10:00+00:00,,
0xPeerWalletA,0xAsiaHoursWallet,24.0,2026-08-28 10:25:00+00:00,,
0xAsiaHoursWallet,0xExchangeCounterparty,19.0,2026-08-29 11:35:00+00:00,,
0xAsiaHoursWallet,0xPeerWalletB,21.0,2026-08-30 12:50:00+00:00,,
